Email Date,Subject,From,URL,Suspicious?
2025-06-28 15:37:02,Security alert,Google <no-reply@accounts.google.com>,https://accounts.google.com/AccountChooser?Email=ashvinan26@gmail.com&continue=https://myaccount.google.com/connections/overview/AXgE0HNwoDhQJFh2hj8r6KpKR6SNFhu58mlo07qg_zSJnsqaoaHXVK7uFkKoclkPKXzdOD1s8jd7bhSMc5b-dIX8ZTw?utm_source%3Dsec_alert%26utm_medium%3Demail_notification%26force_all%3Dtrue,No
2025-06-28 15:37:02,Security alert,Google <no-reply@accounts.google.com>,https://accounts.google.com/AccountChooser?Email=ashvinan26@gmail.com&continue=https://myaccount.google.com/alert/nt/1751139422000?rfn%3D127%26rfnc%3D1%26eid%3D-8803688731488880465%26et%3D0,No
2025-06-28 15:12:57,Learn from the AWS Security Engineer in 3 hours,ict@ccubed.dev,https://www.youtube.com/watch?v=ivH6xN0fENM,No
2025-06-28 15:12:57,Learn from the AWS Security Engineer in 3 hours,ict@ccubed.dev,https://meet.google.com/vkp-bezp-gvq?authuser=4,No
2025-06-28 15:03:51,🟥🟥🟥⬜⬜,Liberal Party of Canada <reply@action.liberal.ca>,https://click.action.liberal.ca/?qs=cb8c7d465a518b0b70cfe5098197af1cb4b869130811e47c55f20598149c13fb5f83749978a2131c500169cd03cfdd8afb065e5ae73dbc3f7186b78031f020ef,No
2025-06-28 15:03:51,🟥🟥🟥⬜⬜,Liberal Party of Canada <reply@action.liberal.ca>,https://click.action.liberal.ca/profile_center.aspx?qs=e1e0c5f9e61c317b156885dc42784920e3f1d4051ab6bb5cda9d1bd978893130fd258be2e01620da954990b0e5abd711c0d784e79621a9d20859c65893e0e66d1467c22a1433c58b,No
2025-06-28 15:03:51,🟥🟥🟥⬜⬜,Liberal Party of Canada <reply@action.liberal.ca>,https://click.action.liberal.ca/?qs=cb8c7d465a518b0b08150b0df5c5eb85818b669968923ecafb6d172437f03bbd5d51aa53d6bf52b3db4390203c16a6ac42a637bcb0ac2f389f70fe3b3c98390b,No
2025-06-28 15:03:51,🟥🟥🟥⬜⬜,Liberal Party of Canada <reply@action.liberal.ca>,https://click.action.liberal.ca/?qs=cb8c7d465a518b0bea5a94266a2ac9f5a9256710f05ca6851a1c222b47bd1ae3ba3e96bde5150605a4b7ee038723b202d84859342497e921d9787c6e0c126c35,No
2025-06-28 15:03:51,🟥🟥🟥⬜⬜,Liberal Party of Canada <reply@action.liberal.ca>,https://click.action.liberal.ca/?qs=cb8c7d465a518b0b3f72631dd8322f5fdcef208554eb5ff7fa2a3617da52f1745bc1aebb2060d9f01dbb382e4ab52ed43778f9fb8c15a61f2f11e031e9a89da6,No
2025-06-28 15:03:51,🟥🟥🟥⬜⬜,Liberal Party of Canada <reply@action.liberal.ca>,https://click.action.liberal.ca/?qs=cb8c7d465a518b0bde2aa60c7442672b1d424212fd5b650cfc7d1f4192a9f3e360ed91defafc820b966fd3d4f95e8fa3871f24e90282ada603b807855683019a,No
